time,open,high,low,close,Volume,Volume MA
1595548800,275.5075,287.76,268.3475,279.435,NaN,NaN
1595635200,279.7675,309.5675,279.7575,305.7175,NaN,NaN
1595721600,305.655,320.315,300.2725,311.4475,NaN,NaN
1595808000,311.4725,334.2575,310.425,322.5475,NaN,NaN
1595894400,322.6125,327.405,306.2075,317.5175,NaN,NaN
1595980800,317.6875,325.5075,313.0725,318.245,NaN,NaN
1596067200,317.985,342.5925,314.4175,335.04,NaN,NaN
1596153600,335.2875,349.72,328.74,346.7175,NaN,NaN
1596240000,346.92,394.1525,343.8175,387.465,NaN,NaN
1596326400,387.575,416.355,320.18,372.1125,NaN,NaN
1596412800,372.425,398.5125,366.7775,386.1875,NaN,NaN
1596499200,386.3075,403.39,380.915,389.835,NaN,NaN
1596585600,389.87,407.9975,384.005,401.2875,NaN,NaN
1596672000,401.2775,404,390.8775,395.1525,NaN,NaN
1596758400,395.1725,398.675,363.13,379.78,NaN,NaN
1596844800,379.7,398.2175,376.325,397.5175,NaN,NaN
1596931200,397.5825,400.3575,383.3675,390.46,NaN,NaN
1597017600,390.405,400.3125,385.2475,395.9175,NaN,NaN
1597104000,395.7875,398.4475,366.075,378.7975,NaN,NaN
1597190400,378.87,389.485,365.145,387.24,NaN,NaN
1597276800,387.3575,432.2125,376.42,424.745,NaN,NaN
1597363200,425.48,444.825,418.0625,438.7925,NaN,NaN
1597449600,438.845,443.265,426.475,432.725,NaN,NaN
1597536000,432.695,437.1225,412.575,433.855,NaN,NaN
1597622400,433.9925,447.415,420.4075,431.1125,NaN,NaN
1597708800,431.4675,434.205,414.03,422.33,NaN,NaN
1597795200,422.3675,426.7875,393.635,407.535,NaN,NaN
1597881600,407.8525,419.48,402.4525,415.7075,NaN,NaN
1597968000,415.7875,417.9075,384.8475,388.015,NaN,NaN
1598054400,387.8925,397.755,379.575,395.81,NaN,NaN
1598140800,395.7075,397.875,383.765,390.75,NaN,NaN
1598227200,390.9225,410.4775,387.755,408.0425,NaN,NaN
1598313600,407.9225,409.1675,369.7475,383.3375,NaN,NaN
1598400000,383.365,393.36,377.69,385.92,NaN,NaN
1598486400,386.15,397.155,370.9,382.5825,NaN,NaN
1598572800,382.5875,398.2,380.1225,395.5,NaN,NaN
1598659200,395.4725,405.8325,392.345,398.6375,NaN,NaN
1598745600,398.6175,429.785,398.47,429.0175,NaN,NaN
1598832000,429.0675,439.1175,418.1125,433.9825,NaN,NaN
1598918400,434.0225,489.1,429.4925,475.735,NaN,NaN
1599004800,475.5925,481.2125,421.425,439.92,NaN,NaN
1599091200,440.285,450.765,371.7475,382.7125,NaN,NaN
1599177600,382.225,400.5625,359.695,386.4725,NaN,NaN
1599264000,386.4075,394.4725,310.315,335.275,NaN,NaN
1599350400,335.05,360.4325,316.52,352.6725,NaN,NaN
1599436800,352.5925,358.5275,323.3825,353.4525,NaN,NaN
1599523200,353.5925,356.5575,325.4725,337.2825,NaN,NaN
1599609600,337.2625,359.57,330.89,351.2625,NaN,NaN
1599696000,351.08,377.785,350.4675,368.115,NaN,NaN
1599782400,368.0825,375.3475,355.825,374,NaN,NaN
1599868800,374.1275,388.22,365.0075,387.6875,NaN,NaN
1599955200,387.8225,390.4025,352.2825,366.4625,NaN,NaN
1600041600,366.5475,384.535,356.1575,377.2125,NaN,NaN
1600128000,377.19,382.4325,362.39,364.1225,NaN,NaN
1600214400,363.9175,373.5825,354.995,365.11,NaN,NaN
1600300800,365.035,394.395,363.4375,389.5175,NaN,NaN
1600387200,389.38,392.4675,375.6375,384.5275,NaN,NaN
1600473600,384.68,388.2825,377.28,385.4175,NaN,NaN
1600560000,385.395,385.3975,364.9875,370.875,NaN,NaN
